County,Year,Annual Average (µg/m³)
Adams,2010,5
Adams,2011,5.1
Adams,2012,5.1
Adams,2013,4.4
Adams,2014,4.6
Adams,2015,6.9
Adams,2016,3.8
Adams,2017,6.6
Adams,2018,6.1
Asotin,2010,7.2
Asotin,2011,6.1
Asotin,2012,10.4
Asotin,2013,9.1
Asotin,2014,7.6
Asotin,2015,--
Asotin,2016,7.1
Asotin,2017,11.8
Asotin,2018,9.4
Benton,2010,5.9
Benton,2011,6
Benton,2012,6.5
Benton,2013,6.8
Benton,2014,5.7
Benton,2015,6.9
Benton,2016,5.7
Benton,2017,8.6
Benton,2018,7.1
Chelan,2010,8
Chelan,2011,9.6
Chelan,2012,13.7
Chelan,2013,8.9
Chelan,2014,9.1
Chelan,2015,8.3
Chelan,2016,6.4
Chelan,2017,11.7
Chelan,2018,14.5
Clallam,2010,5.6
Clallam,2011,6.8
Clallam,2012,8
Clallam,2013,6.4
Clallam,2014,7.1
Clallam,2015,7.2
Clallam,2016,7.1
Clallam,2017,9.1
Clallam,2018,9.5
Clark,2010,6.5
Clark,2011,9.6
Clark,2012,8
Clark,2013,10.1
Clark,2014,8.3
Clark,2015,9.3
Clark,2016,6.2
Clark,2017,8.9
Clark,2018,7.5
Columbia,2010,5.1
Columbia,2011,5.2
Columbia,2012,5.6
Columbia,2013,6.2
Columbia,2014,4.8
Columbia,2015,4.3
Columbia,2016,4.2
Columbia,2017,7.5
Columbia,2018,6
Cowlitz,2010,4.6
Cowlitz,2011,4.8
Cowlitz,2012,5.5
Cowlitz,2013,6.7
Cowlitz,2014,6
Cowlitz,2015,6
Cowlitz,2016,5.1
Cowlitz,2017,6.1
Cowlitz,2018,6.3
Douglas,2010,--
Douglas,2011,--
Douglas,2012,--
Douglas,2013,--
Douglas,2014,--
Douglas,2015,--
Douglas,2016,--
Douglas,2017,--
Douglas,2018,--
Ferry,2010,--
Ferry,2011,--
Ferry,2012,--
Ferry,2013,--
Ferry,2014,--
Ferry,2015,--
Ferry,2016,--
Ferry,2017,--
Ferry,2018,--
Franklin,2010,5.7
Franklin,2011,5.4
Franklin,2012,5.9
Franklin,2013,6.8
Franklin,2014,5.4
Franklin,2015,6.6
