year,CO2 emission (million metric tons)
1990,66.47502268
1991,67.4144722
1992,74.14825882
1993,70.95778779
1994,75.26462973
1995,73.42881113
1996,76.3374406
1997,75.52866263
1998,76.4259066
1999,76.68341059
2000,78.39814698
2001,78.36861949
2002,71.96267167
2003,73.95826554
2004,75.41595523
2005,76.24859811
2006,73.87016796
2007,79.31170468
2008,75.99414743
2009,73.72109276
2010,73.62404662
2011,68.65096759
2012,68.54330773
2013,73.16595057
2014,71.59466762
2015,73.43599905
2016,78.92887295
2017,79.12802023
2018,78.75379603
