County Name,Census Tract,Difference in Cooling Degree Days,IBL Rank,Year
n/a,State Total,411,6,2020
Adams,53001950100,549,9,2020
Adams,53001950200,610,10,2020
Adams,53001950300,632,10,2020
Adams,53001950400,635,10,2020
Adams,53001950500,633,10,2020
Asotin,53003960100,506,9,2020
Asotin,53003960200,610,10,2020
Asotin,53003960300,719,10,2020
Asotin,53003960400,724,10,2020
Asotin,53003960500,739,10,2020
Asotin,53003960600,744,10,2020
Benton,53005010100,719,10,2020
Benton,53005010201,721,10,2020
Benton,53005010202,722,10,2020
Benton,53005010300,720,10,2020
Benton,53005010400,724,10,2020
Benton,53005010500,726,10,2020
Benton,53005010600,723,10,2020
Benton,53005010701,695,10,2020
Benton,53005010703,710,10,2020
Benton,53005010705,712,10,2020
Benton,53005010707,706,10,2020
Benton,53005010708,713,10,2020
Benton,53005010803,710,10,2020
Benton,53005010805,720,10,2020
Benton,53005010807,649,10,2020
Benton,53005010809,719,10,2020
Benton,53005010810,704,10,2020
Benton,53005010811,691,10,2020
Benton,53005010813,703,10,2020
Benton,53005010814,642,10,2020
Benton,53005010901,727,10,2020
Benton,53005010902,723,10,2020
Benton,53005011001,738,10,2020
Benton,53005011002,729,10,2020
Benton,53005011100,731,10,2020
Benton,53005011200,739,10,2020
Benton,53005011300,745,10,2020
Benton,53005011401,738,10,2020
Benton,53005011402,731,10,2020
Benton,53005011501,736,10,2020
Benton,53005011503,672,10,2020
Benton,53005011504,719,10,2020
Benton,53005011600,671,10,2020
Benton,53005011700,646,10,2020
Benton,53005011800,624,10,2020
Benton,53005011900,618,10,2020
Benton,53005012000,707,10,2020
Chelan,53007960100,180,1,2020
Chelan,53007960200,145,1,2020
Chelan,53007960300,446,8,2020
Chelan,53007960400,471,9,2020
Chelan,53007960500,338,3,2020
Chelan,53007960600,522,9,2020
Chelan,53007960700,473,9,2020
Chelan,53007960801,552,9,2020
Chelan,53007960802,613,10,2020
Chelan,53007961000,620,10,2020
Chelan,53007961100,613,10,2020
Chelan,53007961200,472,9,2020
Chelan,53007961301,494,9,2020
Chelan,53007961302,494,9,2020
Clallam,53009000200,139,1,2020
Clallam,53009000300,139,1,2020
Clallam,53009000400,109,1,2020
Clallam,53009000600,51,1,2020
Clallam,53009000700,111,1,2020
Clallam,53009000800,108,1,2020
Clallam,53009000900,107,1,2020
Clallam,53009001000,107,1,2020
Clallam,53009001100,76,1,2020
Clallam,53009001200,103,1,2020
Clallam,53009001300,114,1,2020
Clallam,53009001400,83,1,2020
Clallam,53009001500,26,1,2020
Clallam,53009001600,136,1,2020
Clallam,53009001700,146,1,2020
Clallam,53009001800,49,1,2020
Clallam,53009001900,147,1,2020
Clallam,53009002000,120,1,2020
Clallam,53009002100,125,1,2020
Clallam,53009002300,67,1,2020
Clallam,53009940000,145,1,2020
Clallam,53009990100,150,1,2020
Clark,53011040101,280,2,2020
Clark,53011040102,315,2,2020
Clark,53011040201,397,5,2020
Clark,53011040202,353,3,2020
Clark,53011040203,372,4,2020
Clark,53011040301,443,8,2020
Clark,53011040302,458,8,2020
Clark,53011040403,403,5,2020
Clark,53011040407,356,3,2020
Clark,53011040408,377,4,2020
Clark,53011040409,395,5,2020
Clark,53011040411,399,5,2020
Clark,53011040412,402,5,2020
Clark,53011040413,377,4,2020
Clark,53011040414,376,4,2020
Clark,53011040415,358,3,2020
Clark,53011040416,343,3,2020
Clark,53011040504,227,1,2020
Clark,53011040505,334,3,2020
Clark,53011040507,385,5,2020
Clark,53011040508,411,6,2020
Clark,53011040509,447,8,2020
Clark,53011040510,357,3,2020
Clark,53011040511,268,1,2020
Clark,53011040603,355,3,2020
Clark,53011040604,418,6,2020
Clark,53011040605,429,7,2020
Clark,53011040608,459,8,2020
Clark,53011040609,476,9,2020
Clark,53011040610,462,8,2020
Clark,53011040703,412,6,2020
Clark,53011040706,420,6,2020
Clark,53011040707,415,6,2020
Clark,53011040709,392,5,2020
Clark,53011040710,381,4,2020
Clark,53011040711,408,6,2020
Clark,53011040712,406,6,2020
Clark,53011040803,400,5,2020
Clark,53011040805,396,5,2020
Clark,53011040806,405,6,2020
Clark,53011040808,405,6,2020
Clark,53011040809,403,5,2020
Clark,53011040810,405,6,2020
Clark,53011040904,407,6,2020
Clark,53011040905,430,7,2020
Clark,53011040907,430,7,2020
Clark,53011040908,418,6,2020
Clark,53011040909,410,6,2020
Clark,53011040910,409,6,2020
Clark,53011041003,421,7,2020
Clark,53011041005,447,8,2020
Clark,53011041007,414,6,2020
Clark,53011041008,419,6,2020
Clark,53011041009,409,6,2020
Clark,53011041010,407,6,2020
Clark,53011041011,413,6,2020
Clark,53011041104,419,6,2020
Clark,53011041105,411,6,2020
Clark,53011041107,414,6,2020
Clark,53011041108,425,7,2020
Clark,53011041110,422,7,2020
Clark,53011041111,434,7,2020
Clark,53011041112,423,7,2020
Clark,53011041201,484,9,2020
Clark,53011041203,439,7,2020
Clark,53011041205,454,8,2020
Clark,53011041206,460,8,2020
Clark,53011041309,490,9,2020
Clark,53011041310,494,9,2020
Clark,53011041312,429,7,2020
Clark,53011041313,434,7,2020
Clark,53011041317,460,8,2020
Clark,53011041318,465,8,2020
Clark,53011041319,460,8,2020
