County Name,Census Tract,Fewer Heating Degree Days,IBL Rank,Year
n/a,State Total,1339,4,2020
Adams,53001950100,1339,4,2020
Adams,53001950200,1262,6,2020
Adams,53001950300,1185,9,2020
Adams,53001950400,1176,9,2020
Adams,53001950500,1174,9,2020
Asotin,53003960100,1434,1,2020
Asotin,53003960200,1317,4,2020
Asotin,53003960300,1197,9,2020
Asotin,53003960400,1190,9,2020
Asotin,53003960500,1169,9,2020
Asotin,53003960600,1164,9,2020
Benton,53005010100,1078,10,2020
Benton,53005010201,1081,10,2020
Benton,53005010202,1075,10,2020
Benton,53005010300,1081,10,2020
Benton,53005010400,1076,10,2020
Benton,53005010500,1072,10,2020
Benton,53005010600,1078,10,2020
Benton,53005010701,1106,10,2020
Benton,53005010703,1093,10,2020
Benton,53005010705,1092,10,2020
Benton,53005010707,1100,10,2020
Benton,53005010708,1092,10,2020
Benton,53005010803,1091,10,2020
Benton,53005010805,1083,10,2020
Benton,53005010807,1154,10,2020
Benton,53005010809,1086,10,2020
Benton,53005010810,1095,10,2020
Benton,53005010811,1107,10,2020
Benton,53005010813,1101,10,2020
Benton,53005010814,1147,10,2020
Benton,53005010901,1082,10,2020
Benton,53005010902,1088,10,2020
Benton,53005011001,1075,10,2020
Benton,53005011002,1083,10,2020
Benton,53005011100,1082,10,2020
Benton,53005011200,1075,10,2020
Benton,53005011300,1070,10,2020
Benton,53005011401,1076,10,2020
Benton,53005011402,1083,10,2020
Benton,53005011501,1082,10,2020
Benton,53005011503,1154,10,2020
Benton,53005011504,1097,10,2020
Benton,53005011600,1131,10,2020
Benton,53005011700,1157,10,2020
Benton,53005011800,1194,9,2020
Benton,53005011900,1199,9,2020
Benton,53005012000,1106,10,2020
Chelan,53007960100,1697,1,2020
Chelan,53007960200,1678,1,2020
Chelan,53007960300,1446,1,2020
Chelan,53007960400,1427,2,2020
Chelan,53007960500,1496,1,2020
Chelan,53007960600,1285,5,2020
Chelan,53007960700,1388,2,2020
Chelan,53007960801,1262,6,2020
Chelan,53007960802,1190,9,2020
Chelan,53007961000,1186,9,2020
Chelan,53007961100,1195,9,2020
Chelan,53007961200,1369,3,2020
Chelan,53007961301,1332,4,2020
Chelan,53007961302,1337,4,2020
Clallam,53009000200,1386,2,2020
Clallam,53009000300,1272,6,2020
Clallam,53009000400,1331,4,2020
Clallam,53009000600,1487,1,2020
Clallam,53009000700,1465,1,2020
Clallam,53009000800,1467,1,2020
Clallam,53009000900,1468,1,2020
Clallam,53009001000,1468,1,2020
Clallam,53009001100,1511,1,2020
Clallam,53009001200,1474,1,2020
Clallam,53009001300,1467,1,2020
Clallam,53009001400,1511,1,2020
Clallam,53009001500,1565,1,2020
Clallam,53009001600,1450,1,2020
Clallam,53009001700,1426,2,2020
Clallam,53009001800,1547,1,2020
Clallam,53009001900,1424,2,2020
Clallam,53009002000,1457,1,2020
Clallam,53009002100,1449,1,2020
Clallam,53009002300,1537,1,2020
Clallam,53009940000,1417,2,2020
Clallam,53009990100,1403,2,2020
Clark,53011040101,1324,4,2020
Clark,53011040102,1265,6,2020
Clark,53011040201,1162,9,2020
Clark,53011040202,1223,9,2020
Clark,53011040203,1188,9,2020
Clark,53011040301,1109,10,2020
Clark,53011040302,1090,10,2020
Clark,53011040403,1154,10,2020
Clark,53011040407,1191,9,2020
Clark,53011040408,1177,9,2020
Clark,53011040409,1162,9,2020
Clark,53011040411,1156,10,2020
Clark,53011040412,1155,10,2020
Clark,53011040413,1174,9,2020
Clark,53011040414,1176,9,2020
Clark,53011040415,1190,9,2020
Clark,53011040416,1210,9,2020
Clark,53011040504,1365,3,2020
Clark,53011040505,1225,9,2020
Clark,53011040507,1188,9,2020
Clark,53011040508,1163,9,2020
Clark,53011040509,1128,10,2020
Clark,53011040510,1220,9,2020
Clark,53011040511,1326,4,2020
Clark,53011040603,1233,8,2020
Clark,53011040604,1164,9,2020
Clark,53011040605,1159,9,2020
Clark,53011040608,1133,10,2020
Clark,53011040609,1116,10,2020
Clark,53011040610,1128,10,2020
Clark,53011040703,1160,9,2020
Clark,53011040706,1158,10,2020
Clark,53011040707,1163,9,2020
Clark,53011040709,1170,9,2020
Clark,53011040710,1182,9,2020
Clark,53011040711,1166,9,2020
Clark,53011040712,1168,9,2020
Clark,53011040803,1158,10,2020
Clark,53011040805,1163,9,2020
Clark,53011040806,1163,9,2020
Clark,53011040808,1160,9,2020
Clark,53011040809,1157,10,2020
Clark,53011040810,1156,10,2020
Clark,53011040904,1147,10,2020
Clark,53011040905,1125,10,2020
Clark,53011040907,1121,10,2020
Clark,53011040908,1134,10,2020
Clark,53011040909,1144,10,2020
Clark,53011040910,1146,10,2020
Clark,53011041003,1134,10,2020
Clark,53011041005,1100,10,2020
Clark,53011041007,1142,10,2020
Clark,53011041008,1133,10,2020
Clark,53011041009,1146,10,2020
Clark,53011041010,1153,10,2020
Clark,53011041011,1149,10,2020
Clark,53011041104,1154,10,2020
Clark,53011041105,1154,10,2020
Clark,53011041107,1157,10,2020
Clark,53011041108,1147,10,2020
Clark,53011041110,1143,10,2020
Clark,53011041111,1133,10,2020
Clark,53011041112,1145,10,2020
Clark,53011041201,1087,10,2020
Clark,53011041203,1133,10,2020
Clark,53011041205,1114,10,2020
Clark,53011041206,1113,10,2020
Clark,53011041309,1091,10,2020
Clark,53011041310,1092,10,2020
Clark,53011041312,1151,10,2020
Clark,53011041313,1142,10,2020
Clark,53011041317,1118,10,2020
Clark,53011041318,1118,10,2020
Clark,53011041319,1126,10,2020
Clark,53011041320,1114,10,2020
Clark,53011041321,1124,10,2020
Clark,53011041322,1101,10,2020
Clark,53011041323,1105,10,2020
Clark,53011041325,1101,10,2020
Clark,53011041326,1152,10,2020
Clark,53011041327,1139,10,2020
Clark,53011041328,1111,10,2020
Clark,53011041329,1114,10,2020
Clark,53011041330,1140,10,2020
Clark,53011041331,1137,10,2020
Clark,53011041332,1137,10,2020
Clark,53011041333,1144,10,2020
Clark,53011041400,1107,10,2020
Clark,53011041500,1119,10,2020
Clark,53011041600,1123,10,2020
Clark,53011041700,1129,10,2020
Clark,53011041800,1136,10,2020
Clark,53011041900,1132,10,2020
Clark,53011042000,1131,10,2020
Clark,53011042100,1122,10,2020
Clark,53011042300,1113,10,2020
Clark,53011042400,1101,10,2020
Clark,53011042500,1114,10,2020
Clark,53011042600,1100,10,2020
Clark,53011042700,1118,10,2020
Clark,53011042800,1102,10,2020
Clark,53011042900,1103,10,2020
Clark,53011043000,1103,10,2020
