County Name,Census Tract,Annual Tons/Km2,IBL Rank
n/a,State Total,9.18,7
Adams,53001950100,0.53,2
Adams,53001950200,0.36,1
Adams,53001950300,0.4,2
Adams,53001950400,1.32,3
Adams,53001950500,1.57,3
Asotin,53003960100,0.07,1
Asotin,53003960200,0.14,1
Asotin,53003960300,1.08,3
Asotin,53003960400,1.82,3
Asotin,53003960500,1.82,3
Asotin,53003960600,1.8,3
Benton,53005010100,2.68,4
Benton,53005010201,1.3,3
Benton,53005010202,2.15,3
Benton,53005010300,3.82,4
Benton,53005010400,7.55,6
Benton,53005010500,7.08,6
Benton,53005010600,7.89,7
Benton,53005010701,1.06,3
Benton,53005010703,0.61,2
Benton,53005010705,2.33,4
Benton,53005010707,1.99,3
Benton,53005010708,1.36,3
Benton,53005010803,3.17,4
Benton,53005010805,4.86,5
Benton,53005010807,1.1,3
Benton,53005010809,6.75,6
Benton,53005010810,3.25,4
Benton,53005010811,2.37,4
Benton,53005010813,3.46,4
Benton,53005010814,1.03,2
Benton,53005010901,6.47,6
Benton,53005010902,5.3,5
Benton,53005011001,5.55,5
Benton,53005011002,5.94,6
Benton,53005011100,6,6
Benton,53005011200,6.36,6
Benton,53005011300,7.88,7
Benton,53005011401,6.3,6
Benton,53005011402,5.59,5
Benton,53005011501,2.91,4
Benton,53005011503,1.24,3
Benton,53005011504,2.12,3
Benton,53005011600,0.71,2
Benton,53005011700,2.27,4
Benton,53005011800,0.58,2
Benton,53005011900,0.5,2
Benton,53005012000,0.08,1
Chelan,53007960100,0.03,1
Chelan,53007960200,0.11,1
Chelan,53007960300,0.22,1
Chelan,53007960400,0.25,1
Chelan,53007960500,0.29,1
Chelan,53007960600,2.62,4
Chelan,53007960700,0.49,2
Chelan,53007960801,2.03,3
Chelan,53007960802,5.55,5
Chelan,53007961000,4.77,5
Chelan,53007961100,4.26,5
Chelan,53007961200,0.46,2
Chelan,53007961301,0.8,2
Chelan,53007961302,1.25,3
Clallam,53009000200,0.04,1
Clallam,53009000300,0.31,1
Clallam,53009000400,0.06,1
Clallam,53009000600,0.06,1
Clallam,53009000700,11.01,8
Clallam,53009000800,40.56,10
Clallam,53009000900,40.56,10
Clallam,53009001000,29.04,10
Clallam,53009001100,5.27,5
Clallam,53009001200,1.55,3
Clallam,53009001300,1.07,3
Clallam,53009001400,0.73,2
Clallam,53009001500,0.21,1
Clallam,53009001600,0.8,2
Clallam,53009001700,0.98,2
Clallam,53009001800,0.2,1
Clallam,53009001900,0.6,2
Clallam,53009002000,1.13,3
Clallam,53009002100,1.21,3
Clallam,53009002300,0.27,1
Clallam,53009940000,0.03,1
Clallam,53009990100,0.1,1
Clark,53011040101,0.18,1
Clark,53011040102,0.45,2
Clark,53011040201,1.25,3
Clark,53011040202,0.3,1
Clark,53011040203,0.64,2
Clark,53011040301,4.18,5
Clark,53011040302,4.25,5
Clark,53011040403,2.81,4
Clark,53011040407,2.9,4
Clark,53011040408,2.43,4
Clark,53011040409,4.24,5
Clark,53011040411,13.23,8
Clark,53011040412,8.95,7
Clark,53011040413,3.23,4
Clark,53011040414,3.05,4
Clark,53011040415,4.43,5
Clark,53011040416,1.41,3
Clark,53011040504,0.15,1
Clark,53011040505,0.81,2
Clark,53011040507,3.71,4
Clark,53011040508,2.67,4
Clark,53011040509,4.67,5
Clark,53011040510,0.55,2
Clark,53011040511,0.11,1
Clark,53011040603,0.58,2
Clark,53011040604,2.21,3
Clark,53011040605,1.19,3
Clark,53011040608,3.59,4
Clark,53011040609,3.39,4
Clark,53011040610,3.1,4
Clark,53011040703,9.47,7
Clark,53011040706,9.35,7
Clark,53011040707,8.45,7
Clark,53011040709,2.88,4
Clark,53011040710,2.19,3
Clark,53011040711,9.39,7
Clark,53011040712,5.62,6
Clark,53011040803,11.99,8
Clark,53011040805,3.82,4
Clark,53011040806,9.14,7
Clark,53011040808,10.19,7
Clark,53011040809,13.35,8
Clark,53011040810,13.66,8
Clark,53011040904,12.64,8
Clark,53011040905,2.33,4
Clark,53011040907,4.85,5
Clark,53011040908,5.54,5
Clark,53011040909,10.39,7
Clark,53011040910,9.33,7
Clark,53011041003,9.49,7
Clark,53011041005,4.08,5
Clark,53011041007,11.83,8
Clark,53011041008,6.27,6
Clark,53011041009,13.71,8
Clark,53011041010,13.73,8
Clark,53011041011,14.75,9
Clark,53011041104,10.46,7
Clark,53011041105,11.94,8
Clark,53011041107,11.31,8
Clark,53011041108,11.86,8
Clark,53011041110,13.82,9
Clark,53011041111,12.65,8
Clark,53011041112,12,8
Clark,53011041201,15.37,9
Clark,53011041203,12.63,8
Clark,53011041205,12.65,8
Clark,53011041206,12.72,8
Clark,53011041309,18.03,9
Clark,53011041310,14.05,9
Clark,53011041312,9.39,7
Clark,53011041313,11.24,8
Clark,53011041317,12.75,8
Clark,53011041318,13.05,8
Clark,53011041319,8.41,7
Clark,53011041320,9.17,7
Clark,53011041321,4.84,5
Clark,53011041322,17.67,9
Clark,53011041323,13,8
Clark,53011041325,8.91,7
Clark,53011041326,6.17,6
Clark,53011041327,4.44,5
Clark,53011041328,8.14,7
Clark,53011041329,10.06,7
Clark,53011041330,12.66,8
Clark,53011041331,12.64,8
Clark,53011041332,8.65,7
Clark,53011041333,9.08,7
Clark,53011041400,5.27,5
Clark,53011041500,3.81,4
Clark,53011041600,13.43,8
Clark,53011041700,16.86,9
Clark,53011041800,16.86,9
Clark,53011041900,16.69,9
Clark,53011042000,14.52,9
Clark,53011042100,12.5,8
Clark,53011042300,12.76,8
Clark,53011042400,12.46,8
Clark,53011042500,16.86,9
Clark,53011042600,12.88,8
Clark,53011042700,16.56,9
Clark,53011042800,13.98,9
Clark,53011042900,12.26,8
Clark,53011043000,12.15,8
Clark,53011043100,9.14,7
Columbia,53013960200,0.11,1
Cowlitz,53015000300,8.31,7
Cowlitz,53015000400,11.15,8
Cowlitz,53015000501,10.89,8
Cowlitz,53015000502,7.56,6
Cowlitz,53015000601,5.05,5
Cowlitz,53015000602,11.25,8
Cowlitz,53015000702,5.96,6
Cowlitz,53015000703,4,4
Cowlitz,53015000704,3.37,4
Cowlitz,53015000800,5.72,6
Cowlitz,53015000900,3.62,4
Cowlitz,53015001000,10.05,7
Cowlitz,53015001100,8.39,7
Cowlitz,53015001200,6.44,6
Cowlitz,53015001300,7.11,6
Cowlitz,53015001501,0.16,1
Cowlitz,53015001502,5.3,5
Cowlitz,53015001600,2.71,4
Cowlitz,53015001700,0.81,2
Cowlitz,53015001800,0.09,1
Cowlitz,53015001900,0.47,2
Cowlitz,53015002001,1.28,3
