Year,County,Days Monitored,#  Days Standard Not Met,% Days Standard Not Met,Affected person days  (x1000)
2010,State Total,--,--,--,--
2010,Adams,336,2,0.6,41
2010,Asotin,359,7,2,154
2010,Benton,--,--,--,--
2010,Chelan,365,42,11.5,3043
2010,Clallam,365,7,1.9,500
2010,Clark,365,2,0.6,851
2010,Columbia,365,2,0.6,8
2010,Cowlitz,364,3,0.8,308
2010,Douglas,--,--,--,--
2010,Ferry,--,--,--,--
2010,Franklin,365,1,0.3,78
2010,Garfield,--,--,--,--
2010,Grant,361,2,0.6,180
2010,Grays Harbor,365,2,0.6,146
2010,Island,--,--,--,--
2010,Jefferson,355,6,1.7,184
2010,King,365,22,6,42487
2010,Kitsap,353,43,12.2,11166
2010,Kittitas,365,16,4.4,655
2010,Klickitat,0,--,--,--
2010,Lewis,365,1,0.3,75
2010,Lincoln,--,--,--,--
2010,Mason,365,28,7.7,1700
2010,Okanogan,365,32,8.8,1316
2010,Pacific,--,--,--,--
2010,Pend Oreille,--,--,--,--
2010,Pierce,365,25,6.8,19881
2010,San Juan,--,--,--,--
2010,Skagit,365,1,0.3,117
2010,Skamania,--,--,--,--
2010,Snohomish,0,--,--,--
2010,Spokane,365,16,4.4,7540
2010,Stevens,365,44,12,1915
2010,Thurston,281,12,4.3,3932
2010,Wahkiakum,--,--,--,--
2010,Walla Walla,365,2,0.6,118
2010,Whatcom,346,1,0.3,212
2010,Whitman,365,4,1.1,179
2010,Yakima,365,28,7.7,6810
2011,State Total,--,--,--,--
2011,Adams,363,1,0.3,19
2011,Asotin,361,5,1.4,109
2011,Benton,363,1,0.3,179
2011,Chelan,363,70,19.3,5117
2011,Clallam,365,23,6.3,1647
2011,Clark,365,65,17.8,27820
2011,Columbia,363,1,0.3,4
2011,Cowlitz,363,5,1.4,516
2011,Douglas,--,--,--,--
2011,Ferry,--,--,--,--
2011,Franklin,363,1,0.3,81
2011,Garfield,--,--,--,--
2011,Grant,--,--,--,--
2011,Grays Harbor,363,6,1.6,440
2011,Island,--,--,--,--
2011,Jefferson,363,6,1.6,181
2011,King,364,56,15.4,109084
2011,Kitsap,361,42,11.6,10782
2011,Kittitas,354,18,5.1,767
2011,Klickitat,0,--,--,--
2011,Lewis,364,3,0.8,229
2011,Lincoln,--,--,--,--
2011,Mason,360,32,8.9,1982
2011,Okanogan,364,45,12.4,1859
2011,Pacific,--,--,--,--
2011,Pend Oreille,0,--,--,--
2011,Pierce,365,72,19.7,57755
2011,San Juan,--,--,--,--
2011,Skagit,--,--,--,--
2011,Skamania,--,--,--,--
2011,Snohomish,365,87,23.8,62379
2011,Spokane,364,27,7.4,12797
2011,Stevens,363,51,14,2236
2011,Thurston,361,30,8.3,7707
2011,Wahkiakum,--,--,--,--
2011,Walla Walla,363,10,2.8,591
2011,Whatcom,349,2,0.6,423
2011,Whitman,363,2,0.6,90
2011,Yakima,364,56,15.4,13741
2012,State Total,--,--,--,--
2012,Adams,342,2,0.6,41
2012,Asotin,323,26,8,641
2012,Benton,332,1,0.3,202
2012,Chelan,365,44,12,3238
2012,Clallam,365,25,6.8,1809
2012,Clark,361,43,11.9,18934
2012,Columbia,--,--,--,--
2012,Cowlitz,365,15,4.1,1550
2012,Douglas,--,--,--,--
2012,Ferry,--,--,--,--
2012,Franklin,333,1,0.3,93
2012,Garfield,--,--,--,--
2012,Grant,337,1,0.3,99
2012,Grays Harbor,365,14,3.8,1025
2012,Island,--,--,--,--
2012,Jefferson,362,8,2.2,244
2012,King,365,55,15.1,109005
2012,Kitsap,349,2,0.6,531
2012,Kittitas,348,19,5.5,835
2012,Klickitat,0,--,--,--
2012,Lewis,330,11,3.3,927
2012,Lincoln,--,--,--,--
2012,Mason,336,22,6.6,1477
2012,Okanogan,365,65,17.8,2698
2012,Pacific,--,--,--,--
2012,Pend Oreille,--,--,--,--
2012,Pierce,365,48,13.2,39096
2012,San Juan,--,--,--,--
2012,Skagit,344,2,0.6,252
2012,Skamania,--,--,--,--
2012,Snohomish,316,20,6.3,16875
2012,Spokane,364,27,7.4,12996
2012,Stevens,365,38,10.4,1664
2012,Thurston,364,60,16.5,15649
2012,Wahkiakum,--,--,--,--
2012,Walla Walla,350,12,3.4,745
2012,Whatcom,333,9,2.7,2030
2012,Whitman,365,2,0.6,92
2012,Yakima,365,87,23.8,21511
2013,State Total,--,--,--,--
2013,Adams,342,2,0.6,41
2013,Asotin,323,26,8,641
2013,Benton,332,1,0.3,202
2013,Chelan,365,44,12,3238
2013,Clallam,365,25,6.8,1809
2013,Clark,361,43,11.9,18934
2013,Columbia,--,--,--,--
2013,Cowlitz,365,15,4.1,1550
2013,Douglas,--,--,--,--
2013,Ferry,--,--,--,--
2013,Franklin,333,1,0.3,93
2013,Garfield,--,--,--,--
2013,Grant,337,1,0.3,99
2013,Grays Harbor,365,14,3.8,1025
2013,Island,--,--,--,--
2013,Jefferson,362,8,2.2,244
2013,King,365,55,15.1,109005
2013,Kitsap,349,2,0.6,531
2013,Kittitas,348,19,5.5,835
2013,Klickitat,0,--,--,--
2013,Lewis,330,11,3.3,927
2013,Lincoln,--,--,--,--
2013,Mason,336,22,6.6,1477
2013,Okanogan,365,65,17.8,2698
2013,Pacific,--,--,--,--
2013,Pend Oreille,--,--,--,--
2013,Pierce,365,48,13.2,39096
2013,San Juan,--,--,--,--
2013,Skagit,344,2,0.6,252
2013,Skamania,--,--,--,--
2013,Snohomish,316,20,6.3,16875
2013,Spokane,364,27,7.4,12996
2013,Stevens,365,38,10.4,1664
2013,Thurston,364,60,16.5,15649
2013,Wahkiakum,--,--,--,--
2013,Walla Walla,350,12,3.4,745
2013,Whatcom,333,9,2.7,2030
2013,Whitman,365,2,0.6,92
2013,Yakima,365,87,23.8,21511
2014,State Total,--,--,--,--
2014,Adams,346,3,0.9,61
2014,Asotin,290,12,4.1,332
2014,Benton,--,--,--,--
2014,Chelan,362,46,12.7,3446
2014,Clallam,365,30,8.2,2175
2014,Clark,360,47,13.1,21101
2014,Columbia,--,--,--,--
2014,Cowlitz,323,10,3.1,1172
2014,Douglas,--,--,--,--
2014,Ferry,--,--,--,--
2014,Franklin,311,2,0.6,203
2014,Garfield,--,--,--,--
2014,Grant,365,4,1.1,372
2014,Grays Harbor,365,2,0.6,147
2014,Island,--,--,--,--
2014,Jefferson,342,6,1.8,197
2014,King,365,36,9.9,72621
2014,Kitsap,362,2,0.6,516
2014,Kittitas,323,11,3.4,523
2014,Klickitat,0,--,--,--
2014,Lewis,365,5,1.4,382
2014,Lincoln,--,--,--,--
2014,Mason,365,10,2.7,620
2014,Okanogan,356,71,19.9,3036
2014,Pacific,--,--,--,--
2014,Pend Oreille,--,--,--,--
2014,Pierce,365,38,10.4,31209
2014,San Juan,--,--,--,--
2014,Skagit,365,2,0.6,239
2014,Skamania,--,--,--,--
